category,term
variable,MBANMETH
variable,MBBLFL
variable,MBCAT
variable,MBCLSIG
variable,MBCOLSRT
variable,MBCSREAS
variable,MBDIR
variable,MBDRVFL
variable,MBDTC
variable,MBDY
variable,MBELTM
variable,MBENDTC
variable,MBENDY
variable,MBEVAL
variable,MBEVALID
variable,MBFAST
variable,MBGRPID
variable,MBLAT
variable,MBLLOD
variable,MBLNKGRP
variable,MBLNKID
variable,MBLOBXFL
variable,MBLOC
variable,MBLOC1
variable,MBLOC2
variable,MBLOINC
variable,MBMETHOD
variable,MBNAM
variable,MBNRIND
variable,MBORNRHI
variable,MBORNRLO
variable,MBORRES
variable,MBORRESU
variable,MBPDUR
variable,MBPOS
variable,MBPTFL
variable,MBREASND
variable,MBREFID
variable,MBRESCAT
variable,MBRESSCL
variable,MBRESTYP
variable,MBRFTDTC
variable,MBSCAT
variable,MBSEQ
variable,MBSPCCND
variable,MBSPCUFL
variable,MBSPEC
variable,MBSPEC1
variable,MBSPEC2
variable,MBSPID
variable,MBSTAT
variable,MBSTNRC
variable,MBSTNRHI
variable,MBSTNRLO
variable,MBSTRESC
variable,MBSTRESN
variable,MBSTRESU
variable,MBTEST
variable,MBTESTCD
variable,MBTMTHSN
variable,MBTPT
variable,MBTPTNUM
variable,MBTPTREF
variable,MBTSTDTL
variable,MBTSTOPO
variable,MHBDSYCD
variable,MHBODSYS
variable,MHCAT
variable,MHCONTRT
variable,MHDECOD
variable,MHDTC
variable,MHDY
variable,MHENDTC
variable,MHENDY
variable,MHENRF
variable,MHENRTPT
variable,MHENTPT
variable,MHEVDTYP
variable,MHGRPID
variable,MHHLGT
variable,MHHLGTCD
variable,MHHLT
variable,MHHLTCD
variable,MHLLT
variable,MHLLTCD
variable,MHMODIFY
variable,MHOCCUR
variable,MHPRESP
variable,MHPTCD
variable,MHREASND
variable,MHREFID
variable,MHSCAT
variable,MHSEQ
variable,MHSOC
variable,MHSOCCD
variable,MHSPID
variable,MHSTAT
variable,MHSTDTC
variable,MHSTDY
variable,MHTERM
variable,MHTOX
variable,MHTOXGR
variable,MHVCDVER
variable,MIANMETH
variable,MIBLFL
variable,MICAT
variable,MICLSIG
variable,MICOLSRT
variable,MICSREAS
variable,MIDIR
variable,MIDRVFL
variable,MIDS
variable,MIDSDTC
variable,MIDSTYPE
variable,MIDTC
variable,MIDY
variable,MIENDTC
variable,MIENDY
variable,MIEVAL
variable,MIEVALID
variable,MIFAST
variable,MIGRPID
variable,MILAT
variable,MILLOD
variable,MILOBXFL
variable,MILOC
variable,MILOINC
variable,MIMETHOD
variable,MINAM
variable,MINRIND
variable,MIORNRHI
variable,MIORNRLO
variable,MIORRES
variable,MIORRESU
variable,MIPDUR
variable,MIPOS
variable,MIPTFL
variable,MIREASND
variable,MIREFID
variable,MIRESCAT
variable,MIRESSCL
